time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1759340772,159986.74,1.600000E+06,159986.74,15998.67,1.600000E+05,15998.67
1759340782,1420000.28,1.580000E+07,789967.33,142000.03,1.580000E+06,78996.73
1759340792,1709999.96,3.290000E+07,1096636.43,171000.00,3.290000E+06,109663.64
1759340802,1750000.59,5.040000E+07,1259974.05,175000.06,5.040000E+06,125997.40
1759340812,1759999.59,6.800000E+07,1359977.53,175999.96,6.800000E+06,135997.75
1759340822,1700000.32,8.500000E+07,1416647.20,170000.03,8.500000E+06,141664.72
1759340832,1489999.99,9.990000E+07,1427126.05,149000.00,9.990000E+06,142712.60
1759340842,1039999.69,1.103000E+08,1378735.74,103999.97,1.103000E+07,137873.57
1759340852,1030000.17,1.206000E+08,1339987.71,103000.02,1.206000E+07,133998.77
1759340862,1130000.02,1.319000E+08,1318989.11,113000.00,1.319000E+07,131898.91
1759340872,1080000.07,1.427000E+08,1297263.00,108000.01,1.427000E+07,129726.30
1759340882,980000.06,1.525000E+08,1270824.60,98000.01,1.525000E+07,127082.46
1759340892,1079999.70,1.633000E+08,1256145.85,107999.97,1.633000E+07,125614.59
1759340902,1070000.18,1.740000E+08,1242849.81,107000.02,1.740000E+07,124284.98
1759340912,1029999.93,1.843000E+08,1228659.90,102999.99,1.843000E+07,122865.99
1759340922,1180000.36,1.961000E+08,1225618.70,118000.04,1.961000E+07,122561.87
1759340932,1749999.15,2.136000E+08,1256464.47,174999.92,2.136000E+07,125646.45
1759340942,1680000.05,2.304000E+08,1279994.11,168000.00,2.304000E+07,127999.41
1759340952,1730000.15,2.477000E+08,1303678.54,173000.01,2.477000E+07,130367.85
1759340962,1589999.94,2.636000E+08,1317994.55,158999.99,2.636000E+07,131799.45
1759340972,1810000.24,2.817000E+08,1341423.30,181000.02,2.817000E+07,134142.33
1759340982,1770000.09,2.994000E+08,1360903.99,177000.01,2.994000E+07,136090.40
1759340992,1789998.92,3.173000E+08,1379560.23,178999.89,3.173000E+07,137956.02
1759341002,1590000.79,3.332000E+08,1388328.55,159000.08,3.332000E+07,138832.86
1759341012,1740000.14,3.506000E+08,1402395.37,174000.01,3.506000E+07,140239.54
1759341022,1749999.86,3.681000E+08,1415764.73,174999.99,3.681000E+07,141576.47
1759341032,1740000.13,3.855000E+08,1427773.41,174000.01,3.855000E+07,142777.34
1759341042,1640000.08,4.019000E+08,1435352.91,164000.01,4.019000E+07,143535.29
1759341052,1679999.78,4.187000E+08,1443788.99,167999.98,4.187000E+07,144378.90
1759341062,1720000.45,4.359000E+08,1452996.01,172000.04,4.359000E+07,145299.60
1759341072,1619999.60,4.521000E+08,1458383.21,161999.96,4.521000E+07,145838.32
1759341082,1550000.31,4.676000E+08,1461246.24,155000.03,4.676000E+07,146124.62
